id,area,width,depth,aspect_ratio,far_used,buildable_area,floors,height
0,10722.361706006064,104.6062889884613,103.8619516435445,1.0071666027177246,4.0,10520.34699869678,4,14.4
1,6723.997967441512,96.07011437167672,74.50598834085136,1.2894280917685892,4.0,6563.024469149798,4,14.4
2,11680.854297980613,115.06260441392179,103.70617301389717,1.1095058381770853,4.0,11469.535731495196,4,14.4
3,7041.773895537824,104.02735535895903,76.2325392519461,1.364605670751068,4.0,6874.16439593551,4,14.4
4,13310.396280463658,177.81318934550268,99.08024760059912,1.7946381206300848,4.0,13050.882182103685,4,14.4
5,5050.349997473988,105.60639649407088,56.4142555376943,1.871980680902682,4.0,4901.299616799845,4,14.4
6,11518.040827968294,155.12788663326262,127.58648532715264,1.2158645661841794,4.0,11247.684364108183,4,14.4
7,7830.6546340111045,92.09781399652452,88.74613520663031,1.0377670394557508,4.0,7658.259673430682,4,14.4
8,6329.239916016407,124.94599423342528,56.72656195664419,2.20260121402952,4.0,6161.684393114091,4,14.4
9,5034.614361949256,73.00731574645097,69.53848574780949,1.049883599870461,4.0,4894.417000385658,4,14.4
10,13004.101051990752,131.74685568803866,111.02292111721513,1.1866635678676094,4.0,12778.68295229608,4,14.4
11,11177.866477996151,123.80771175259031,105.65917063525197,1.17176494012043,4.0,10968.771132202526,4,14.4
12,4484.210800019098,88.73670453539182,52.23937672903444,1.698655498814026,4.0,4350.379929913227,4,14.4
13,4677.0565115127865,93.17375494357228,52.07957351943147,1.789065244722254,4.0,4539.708029570656,4,14.4
14,19390.895257953733,204.524272243209,107.20372103285406,1.9078094516936563,4.0,19104.396991508856,4,14.4
15,14188.705200889046,133.1125214155384,107.52428881537719,1.2379763017460832,4.0,13954.041968902162,4,14.4
16,22893.159952857663,190.63367494709607,120.47495492402825,1.5823510792538587,4.0,22585.447415783936,4,14.4
17,3191.980507974807,62.497407563603346,51.80866351216982,1.2063119047439381,4.0,3080.328464705609,4,14.4
18,3512.0130500513565,70.32353900444443,50.525472931465565,1.3918432609197666,4.0,3394.6171553201693,4,14.4
19,5551.601527926338,103.73160398412814,70.19429716154198,1.4777782267041568,4.0,5402.336654134187,4,14.4
20,22835.415260504746,167.5217817353018,166.60598401304924,1.0054967876914964,4.0,22531.692045911273,4,14.4
21,2985.835000027539,68.50949837671283,51.98314974796225,1.3179174157179347,4.0,2879.5882704642972,4,14.4
22,19474.985683555307,167.33850422357972,139.34100018425457,1.200927968094841,4.0,19197.68683718917,4,14.4
23,6237.938116420815,135.1607634015991,52.702041100593895,2.5646210389387742,4.0,6066.086331032851,4,14.4
24,8715.472738932034,160.9682092427277,60.15858493380774,2.6757313095020505,4.0,8509.446739325189,4,14.4
25,9229.156972060175,153.06442143080068,94.70956471679588,1.616145337469343,4.0,9030.02602058644,4,14.4
26,11755.896298602547,210.65650587711826,113.99982345491827,1.8478669483240322,4.0,11477.914638017033,4,14.4
27,5396.011885504226,107.62633346836222,57.80441672769652,1.8619050162786943,4.0,5245.874607651025,4,14.4
28,7330.773497491398,111.29976967397074,78.30909288860487,1.4212879445851239,4.0,7157.1845190059175,4,14.4
29,15688.435127425953,144.57813710772436,110.29332698309811,1.3108511735245798,4.0,15440.349345774408,4,14.4
30,12124.512418966657,203.46548700032145,66.77050875482999,3.0472358350213007,4.0,11868.984289275399,4,14.4
31,5787.154793917071,82.75768306752221,70.41161202345953,1.1753414059026124,4.0,5637.3430801683735,4,14.4
32,4364.200422944547,124.99060209312142,40.27880956508389,3.1031354561548623,4.0,4207.541487271823,4,14.4
33,8072.292298480441,162.5340096592111,51.26527570397322,3.1704503180232426,4.0,7868.191691233678,4,14.4
34,8292.51509245361,172.77422055823124,57.109211192970264,3.025330186656448,4.0,8081.1430878841975,4,14.4
35,7971.687826560708,146.27327582099954,57.89138857135619,2.5266845282300485,4.0,7777.5251659243095,4,14.4
36,6446.608755586219,128.97636235743056,54.768981295412544,2.354916219123353,4.0,6274.425014374831,4,14.4
37,3679.737250094517,78.81201912848925,50.254957587454356,1.5682436701163167,4.0,3560.2753617334024,4,14.4
38,9459.798914057354,146.25493653466748,79.45260871214676,1.840782057446881,4.0,9248.748094646618,4,14.4
39,5875.07916400365,132.60458898401248,49.455389416075064,2.6812970345535376,4.0,5696.531970999221,4,14.4
40,1820.0532170188471,49.45582123151565,37.91810702157698,1.3042798049853395,3.2,1737.3583793151665,3,10.8
41,5234.4240750427,107.118838767955,50.29189467494209,2.129942398478117,4.0,5081.376120995352,4,14.4
42,2789.7378586040327,147.97655215119127,24.277196048259565,6.09529007621124,4.0,2627.4951215932206,4,14.4
43,5480.001078556803,102.79731628575357,61.17931431448028,1.6802626416723814,4.0,5325.1568428495875,4,14.4
44,706.4896000064253,32.936244533339604,25.245534258521044,1.3046364634657213,2.6,654.4981934467185,2,7.2
45,2862.695923011083,153.8450244329458,23.208098554454725,6.628937052812355,4.0,2692.916721526757,4,14.4
46,10631.962004988443,214.18644388564763,62.50025318776084,3.4269692195037518,4.0,10380.987145440806,4,14.4
47,5761.344623446538,111.41674923648233,56.82568099518531,1.960676005729212,4.0,5605.522714015314,4,14.4
48,3805.193290547354,70.5323853924629,67.60370763715034,1.043321259405352,4.0,3685.018047652091,4,14.4
49,2926.1854995398894,69.653831553954,44.59255840837134,1.5620057256207558,4.0,2818.0790257862973,4,14.4
50,3473.518918521396,74.23942687009675,51.27105015604125,1.4479794473519116,4.0,3356.657407982709,4,14.4
51,2513.549229003849,72.98599542292658,38.32054108531396,1.9046180809513118,4.0,2411.0320529060723,4,14.4
52,2494.9161350206414,144.62522483649963,19.2916658421468,7.496772234180766,3.2,2337.5074395469437,3,10.8
53,1480.1930219781889,46.37387141066709,33.17981374818384,1.3976531563021644,3.2,1405.5270983158925,3,10.8
54,6867.00252755556,142.60669531441636,57.814052432294574,2.466644168931447,4.0,6682.175295497231,4,14.4
55,3332.832956375858,103.07319205782298,33.301523059920925,3.0951494882789223,4.0,3201.918214467618,4,14.4
56,16987.183796106256,202.1042886600445,105.43813926716095,1.9168043941666042,4.0,16713.763286178233,4,14.4
57,7286.375798048339,116.84520175084276,69.41461433728126,1.6832939701011553,4.0,7113.6767682742075,4,14.4
58,9800.932959491643,110.6646773258338,99.39233141266456,1.1134126320708573,4.0,9608.616344122765,4,14.4
59,1715.135883999618,84.62136177905353,21.841622847318767,3.874316591335221,3.2,1617.4624231883301,3,10.8
60,6244.524024946604,164.73385339331065,54.147378302640334,3.0423237201361957,4.0,6042.990364134696,4,14.4
61,5126.637116566562,189.88506361480006,62.721695015850614,3.0274223865731558,4.0,4857.393678145624,4,14.4
62,1203.4371149857288,73.67032763067097,16.916464288595964,4.354948313894113,3.2,1116.4338365417084,3,10.8
63,330.0701539876152,95.8110011226455,4.508072772731458,21.253206403896016,1.8,232.02573541507718,2,7.2
64,2188.074450053725,113.40204036888638,21.084773588659427,5.378385491883126,3.2,2059.9502510422176,3,10.8
65,7454.4544769364775,150.11910503461453,86.65687236490632,1.7323392933277464,4.0,7229.7645404847335,4,14.4
66,4618.061572433604,82.28213821154887,58.78612609155414,1.3996863491804477,4.0,4481.422430520427,4,14.4
67,7166.857692542688,152.04276201924108,80.35135147225932,1.8922240787914146,4.0,6941.315083378009,4,14.4
68,5470.178366094953,115.40912612915017,59.72067682618364,1.93248188504372,4.0,5311.397372557403,4,14.4
69,16555.81537790609,174.57488557279106,106.36976947440715,1.6412077081241983,4.0,16295.397349548582,4,14.4
70,13262.545348044981,133.44155247645514,116.95016759147927,1.1410120671445485,4.0,13034.15771475621,4,14.4
71,5644.810787986017,118.70050726450398,48.3149609223267,2.456806442528894,4.0,5484.009012469675,4,14.4
72,38202.06208841329,200.46119307640348,191.50595774656855,1.0467621761495585,4.0,37814.171900918605,4,14.4
73,5732.210649970993,88.35474599706775,75.44070793212575,1.1711812948065228,4.0,5584.347736645572,4,14.4
74,14653.033357952425,167.81940811868242,107.4882333943645,1.5612816660868205,4.0,14382.58326167975,4,14.4
75,11506.703860451265,134.68709483291164,86.00999678466674,1.565946981373713,4.0,11291.770761747666,4,14.4
76,8012.472381503875,166.6224653666729,50.07580167583247,3.3274048500573095,4.0,7803.3554967701875,4,14.4
77,1151.5305999991258,44.786244540214554,29.44012408870501,1.5212654812619228,2.6,1083.6131508547046,2,7.2
78,1313.5370500038152,45.97178935511066,29.27707186622733,1.570231803411378,3.2,1241.9535101422096,3,10.8
79,6485.136259921692,152.39221983065312,48.97290250466461,3.1117661407987396,4.0,6297.523009950671,4,14.4
80,12511.651438431129,146.0657628482452,123.73244226124508,1.1804968864984189,4.0,12251.249464265775,4,14.4
81,7098.253310071646,117.30624185279322,78.78623852671599,1.4889179131583405,4.0,6926.229328183173,4,14.4
82,9208.245791471589,118.14778238330616,105.68863535040548,1.1178853998028548,4.0,8937.275693001899,4,14.4
83,3163.7736500390174,59.55220223750235,53.446411638223644,1.114241357129989,4.0,3052.098950347939,4,14.4
