id,area,width,depth,aspect_ratio,building_r,floor_r,setback,footprint_area,floors,floor_height,height
0,10722.361706006064,104.6062889884613,103.8619516435445,1.0071666027177246,0.6,1.8,0.5,6433.417023585761,4,3.6,14.4
1,6723.997967441512,96.07011437167672,74.50598834085136,1.2894280917685892,0.15,0.45,0.5,1008.5996951114001,4,3.6,14.4
2,11680.854297980613,115.06260441392179,103.70617301389717,1.1095058381770853,0.6,1.8,0.5,7008.512578795374,3,3.6,10.8
3,7041.773895537824,104.02735535895903,76.2325392519461,1.364605670751068,0.6,1.8,0.5,4225.0643373420035,3,3.6,10.8
4,13310.396280463658,177.81318934550268,99.08024760059912,1.7946381206300848,0.6,1.8,0.5,7986.237768276562,4,3.6,14.4
5,5050.349997473988,105.60639649407088,56.4142555376943,1.871980680902682,0.6,1.8,0.5,3030.209998486923,3,3.6,10.8
6,11518.040827968294,155.12788663326262,127.58648532715264,1.2158645661841794,0.6,1.8,0.5,6910.8244967999435,3,3.6,10.8
7,7830.6546340111045,92.09781399652452,88.74613520663031,1.0377670394557508,0.15,0.45,0.5,1174.5981951027377,3,3.6,10.8
8,6329.239916016407,124.94599423342528,56.72656195664419,2.20260121402952,0.15,0.45,0.5,949.3859874117647,3,3.6,10.8
9,5034.614361949256,73.00731574645097,69.53848574780949,1.049883599870461,0.6,2.5,0.5,3020.7686171649684,5,3.6,18.0
10,13004.101051990752,131.74685568803866,111.02292111721513,1.1866635678676094,0.6,1.8,0.5,7802.460631210742,3,3.6,10.8
11,11177.866477996151,123.80771175259031,105.65917063525197,1.17176494012043,0.6,1.8,0.5,6706.719886806548,3,3.6,10.8
12,4484.210800019098,88.73670453539182,52.23937672903444,1.698655498814026,0.6,1.8,0.5,2690.526480010688,4,3.6,14.4
13,4677.0565115127865,93.17375494357228,52.07957351943147,1.789065244722254,0.6,1.8,0.5,2806.233906912995,3,3.6,10.8
14,19390.895257953733,204.524272243209,107.20372103285406,1.9078094516936563,0.6,1.8,0.5,11634.537154809166,3,3.6,10.8
15,14188.705200889046,133.1125214155384,107.52428881537719,1.2379763017460832,0.6,1.8,0.5,8513.223120533386,4,3.6,14.4
16,22893.159952857663,190.63367494709607,120.47495492402825,1.5823510792538587,0.5,1.5,0.5,11446.579976430432,3,3.6,10.8
17,3191.980507974807,62.497407563603346,51.80866351216982,1.2063119047439381,0.15,0.45,0.5,478.79707619742123,3,3.6,10.8
18,3512.0130500513565,70.32353900444443,50.525472931465565,1.3918432609197666,0.15,0.45,0.5,526.8019575063845,4,3.6,14.4
19,5551.601527926338,103.73160398412814,70.19429716154198,1.4777782267041568,0.15,0.45,0.5,832.7402291894584,3,3.6,10.8
20,22835.415260504746,167.5217817353018,166.60598401304924,1.0054967876914964,0.6,1.8,0.5,13701.249156300244,4,3.6,14.4
21,2985.835000027539,68.50949837671283,51.98314974796225,1.3179174157179347,0.6,1.8,0.5,1791.5010000163074,4,3.6,14.4
22,19474.985683555307,167.33850422357972,139.34100018425457,1.200927968094841,0.6,1.8,0.5,11684.991410108669,4,3.6,14.4
23,6237.938116420815,135.1607634015991,52.702041100593895,2.5646210389387742,0.6,1.8,0.5,3742.76286986865,3,3.6,10.8
24,8715.472738932034,160.9682092427277,60.15858493380774,2.6757313095020505,0.6,1.8,0.5,5229.2836433861685,3,3.6,10.8
25,9229.156972060175,153.06442143080068,94.70956471679588,1.616145337469343,0.6,1.8,0.5,5537.494183272598,3,3.6,10.8
26,11755.896298602547,210.65650587711826,113.99982345491827,1.8478669483240322,0.6,1.8,0.5,7053.537779140663,4,3.6,14.4
27,5396.011885504226,107.62633346836222,57.80441672769652,1.8619050162786943,0.6,1.8,0.5,3237.607131290946,4,3.6,14.4
28,7330.773497491398,111.29976967397074,78.30909288860487,1.4212879445851239,0.6,1.8,0.5,4398.464098485657,4,3.6,14.4
29,15688.435127425953,144.57813710772436,110.29332698309811,1.3108511735245798,0.6,1.8,0.5,9413.061076450542,4,3.6,14.4
30,12124.512418966657,203.46548700032145,66.77050875482999,3.0472358350213007,0.6,1.8,0.5,7274.707451369018,4,3.6,14.4
31,5787.154793917071,82.75768306752221,70.41161202345953,1.1753414059026124,0.6,1.8,0.5,3472.2928763394702,4,3.6,14.4
32,4364.200422944547,124.99060209312142,40.27880956508389,3.1031354561548623,0.6,1.8,0.5,2618.5202537706577,3,3.6,10.8
33,8072.292298480441,162.5340096592111,51.26527570397322,3.1704503180232426,0.6,1.8,0.5,4843.375379090721,3,3.6,10.8
34,8292.51509245361,172.77422055823124,57.109211192970264,3.025330186656448,0.6,1.8,0.5,4975.509055461187,4,3.6,14.4
35,7971.687826560708,146.27327582099954,57.89138857135619,2.5266845282300485,0.6,1.8,0.5,4783.012695932924,4,3.6,14.4
36,6446.608755586219,128.97636235743056,54.768981295412544,2.354916219123353,0.6,1.8,0.5,3867.9652533386293,4,3.6,14.4
37,3679.737250094517,78.81201912848925,50.254957587454356,1.5682436701163167,0.6,1.8,0.5,2207.8423500609038,3,3.6,10.8
38,9459.798914057354,146.25493653466748,79.45260871214676,1.840782057446881,0.5,1.2,0.5,4729.899457011141,3,3.6,10.8
39,5875.07916400365,132.60458898401248,49.455389416075064,2.6812970345535376,0.6,1.8,0.5,3525.047498395355,4,3.6,14.4
40,1820.0532170188471,49.45582123151565,37.91810702157698,1.3042798049853395,0.6,2.5,0.5,1092.0319302180164,5,3.6,18.0
41,5234.4240750427,107.118838767955,50.29189467494209,2.129942398478117,0.6,1.8,0.5,3140.6544450456777,3,3.6,10.8
42,2789.7378586040327,147.97655215119127,24.277196048259565,6.09529007621124,0.5,1.2,0.5,1394.8689293245577,3,3.6,10.8
43,5480.001078556803,102.79731628575357,61.17931431448028,1.6802626416723814,0.1,0.2,0.5,548.0001078537678,3,3.6,10.8
44,706.4896000064253,32.936244533339604,25.245534258521044,1.3046364634657213,0.6,3.6,0.5,423.8937600003437,7,3.6,25.2
45,2862.695923011083,153.8450244329458,23.208098554454725,6.628937052812355,0.6,1.8,0.5,1717.617553811759,3,3.6,10.8
46,10631.962004988443,214.18644388564763,62.50025318776084,3.4269692195037518,0.6,1.8,0.5,6379.1772029823705,4,3.6,14.4
47,5761.344623446538,111.41674923648233,56.82568099518531,1.960676005729212,0.6,1.8,0.5,3456.80677406329,4,3.6,14.4
48,3805.193290547354,70.5323853924629,67.60370763715034,1.043321259405352,0.15,0.45,0.5,570.7789935835538,3,3.6,10.8
49,2926.1854995398894,69.653831553954,44.59255840837134,1.5620057256207558,0.15,0.45,0.5,438.92782492714434,4,3.6,14.4
50,3473.518918521396,74.23942687009675,51.27105015604125,1.4479794473519116,0.6,1.8,0.5,2084.1113511348512,3,3.6,10.8
51,2513.549229003849,72.98599542292658,38.32054108531396,1.9046180809513118,0.6,1.8,0.5,1508.1295374023707,3,3.6,10.8
52,2494.9161350206414,144.62522483649963,19.2916658421468,7.496772234180766,0.6,3.6,0.5,1496.9496810065039,7,3.6,25.2
53,1480.1930219781889,46.37387141066709,33.17981374818384,1.3976531563021644,0.6,4.2,0.5,888.1158131873372,7,3.6,25.2
54,6867.00252755556,142.60669531441636,57.814052432294574,2.466644168931447,0.6,4.2,0.5,4120.201516542019,7,3.6,25.2
55,3332.832956375858,103.07319205782298,33.301523059920925,3.0951494882789223,0.6,3.6,0.5,1999.6997738363375,6,3.6,21.6
56,16987.183796106256,202.1042886600445,105.43813926716095,1.9168043941666042,0.6,1.8,0.5,10192.310277693894,3,3.6,10.8
57,7286.375798048339,116.84520175084276,69.41461433728126,1.6832939701011553,0.6,1.8,0.5,4371.825478811962,4,3.6,14.4
58,9800.932959491643,110.6646773258338,99.39233141266456,1.1134126320708573,0.6,1.8,0.5,5880.559775654905,4,3.6,14.4
59,1715.135883999618,84.62136177905353,21.841622847318767,3.874316591335221,0.8,0.8,0.5,1372.1087072042674,1,3.6,3.6
60,6244.524024946604,164.73385339331065,54.147378302640334,3.0423237201361957,0.6,1.8,0.5,3746.7144149917663,3,3.6,10.8
61,5126.637116566562,189.88506361480006,62.721695015850614,3.0274223865731558,0.5,1.2,0.5,2563.3185583006407,3,3.6,10.8
62,1203.4371149857288,73.67032763067097,16.916464288595964,4.354948313894113,0.6,1.8,0.5,722.0622689980821,3,3.6,10.8
63,330.0701539876152,95.8110011226455,4.508072772731458,21.253206403896016,0.5,1.2,0.5,165.0350769912368,3,3.6,10.8
64,2188.074450053725,113.40204036888638,21.084773588659427,5.378385491883126,0.6,3.6,0.5,1312.8446700266354,7,3.6,25.2
65,7454.4544769364775,150.11910503461453,86.65687236490632,1.7323392933277464,0.6,3.6,0.5,4472.6726861660345,6,3.6,21.6
66,4618.061572433604,82.28213821154887,58.78612609155414,1.3996863491804477,0.6,4.2,0.5,2770.8369434612973,7,3.6,25.2
67,7166.857692542688,152.04276201924108,80.35135147225932,1.8922240787914146,0.6,3.6,0.5,4300.114615524343,7,3.6,25.2
68,5470.178366094953,115.40912612915017,59.72067682618364,1.93248188504372,0.15,0.45,0.5,820.5267549071572,4,3.6,14.4
69,16555.81537790609,174.57488557279106,106.36976947440715,1.6412077081241983,0.6,1.8,0.5,9933.489226727192,4,3.6,14.4
70,13262.545348044981,133.44155247645514,116.95016759147927,1.1410120671445485,0.6,1.8,0.5,7957.527208819166,4,3.6,14.4
71,5644.810787986017,118.70050726450398,48.3149609223267,2.456806442528894,0.6,1.8,0.5,3386.886472804387,3,3.6,10.8
72,38202.06208841329,200.46119307640348,191.50595774656855,1.0467621761495585,0.5,1.5,0.5,19101.03104420999,3,3.6,10.8
73,5732.210649970993,88.35474599706775,75.44070793212575,1.1711812948065228,0.15,0.45,0.5,859.8315975001335,3,3.6,10.8
74,14653.033357952425,167.81940811868242,107.4882333943645,1.5612816660868205,0.6,1.8,0.5,8791.82001475903,4,3.6,14.4
75,11506.703860451265,134.68709483291164,86.00999678466674,1.565946981373713,0.6,1.8,0.5,6904.022316282625,3,3.6,10.8
76,8012.472381503875,166.6224653666729,50.07580167583247,3.3274048500573095,0.6,1.8,0.5,4807.483428902915,3,3.6,10.8
77,1151.5305999991258,44.786244540214554,29.44012408870501,1.5212654812619228,0.1,0.2,0.5,115.15306000077595,2,3.6,7.2
78,1313.5370500038152,45.97178935511066,29.27707186622733,1.570231803411378,0.6,2.5,0.5,788.1222300055321,5,3.6,18.0
79,6485.136259921692,152.39221983065312,48.97290250466461,3.1117661407987396,0.6,2.5,0.5,3891.0817559447078,5,3.6,18.0
80,12511.651438431129,146.0657628482452,123.73244226124508,1.1804968864984189,0.6,2.5,0.5,7506.990863047737,5,3.6,18.0
81,7098.253310071646,117.30624185279322,78.78623852671599,1.4889179131583405,0.6,2.5,0.5,4258.951986057712,5,3.6,18.0
82,9208.245791471589,118.14778238330616,105.68863535040548,1.1178853998028548,0.6,2.5,0.5,5524.947474874425,5,3.6,18.0
83,3163.7736500390174,59.55220223750235,53.446411638223644,1.114241357129989,0.6,2.5,0.5,1898.2641900172232,5,3.6,18.0
